   Average 

Sample_Type m n Runtime
Sorted_Vector 11 250000 10
Sorted_Vector 8 250000 10
Sorted_Vector 7 250000 10
Sorted_Vector 10 250000 10
Sorted_Vector 8 250000 10
Sorted_Vector 8 250000 10
Sorted_Vector 14 250000 10
Sorted_Vector 11 250000 10
   Average 

Sample_Type m n Runtime
Inverse_Sorted_Vector 1358629 250000 10
Inverse_Sorted_Vector 124473 250000 10
Inverse_Sorted_Vector 139898 250000 10
Inverse_Sorted_Vector 142273 250000 10
Inverse_Sorted_Vector 194726 250000 10
Inverse_Sorted_Vector 191829 250000 10
Inverse_Sorted_Vector 174174 250000 10
Inverse_Sorted_Vector 176939 250000 10
Inverse_Sorted_Vector 178011 250000 10
Inverse_Sorted_Vector 175990 250000 10
   Average 

Sample_Type m n Runtime
Random_Vector 89995 250000 25
Random_Vector 89977 250000 25
Random_Vector 94646 250000 25
Random_Vector 90444 250000 25
Random_Vector 85272 250000 25
Random_Vector 87710 250000 25
Random_Vector 96992 250000 25
Random_Vector 83456 250000 25
Random_Vector 95527 250000 25
Random_Vector 90785 250000 25
   Average 

Sample_Type m n Runtime
Sorted_Vector 15 250000 25
Sorted_Vector 16 250000 25
Sorted_Vector 16 250000 25
Sorted_Vector 17 250000 25
Sorted_Vector 15 250000 25
Sorted_Vector 18 250000 25
Sorted_Vector 15 250000 25
Sorted_Vector 17 250000 25
Sorted_Vector 15 250000 25
Sorted_Vector 14 250000 25
   Average 

Sample_Type m n Runtime
Inverse_Sorted_Vector 183353 250000 25
Inverse_Sorted_Vector 179183 250000 25
Inverse_Sorted_Vector 169795 250000 25
Inverse_Sorted_Vector 165569 250000 25
Inverse_Sorted_Vector 175580 250000 25
Inverse_Sorted_Vector 167862 250000 25
Inverse_Sorted_Vector 174920 250000 25
Inverse_Sorted_Vector 176193 250000 25
Inverse_Sorted_Vector 177245 250000 25
Inverse_Sorted_Vector 175304 250000 25
   Average 

Sample_Type m n Runtime
Random_Vector 86036 250000 50
Random_Vector 87819 250000 50
Random_Vector 92196 250000 50
Random_Vector 88064 250000 50
Random_Vector 90354 250000 50
Random_Vector 91277 250000 50
Random_Vector 94792 250000 50
Random_Vector 93944 250000 50
Random_Vector 81017 250000 50
Random_Vector 91142 250000 50
   Average 

Sample_Type m n Runtime
Sorted_Vector 34 250000 50
Sorted_Vector 35 250000 50
Sorted_Vector 35 250000 50
Sorted_Vector 34 250000 50
Sorted_Vector 35 250000 50
Sorted_Vector 39 250000 50
Sorted_Vector 33 250000 50
Sorted_Vector 35 250000 50
Sorted_Vector 35 250000 50
Sorted_Vector 35 250000 50
   Average 

Sample_Type m n Runtime
Inverse_Sorted_Vector 186085 250000 50
Inverse_Sorted_Vector 188963 250000 50
Inverse_Sorted_Vector 185837 250000 50
Inverse_Sorted_Vector 181779 250000 50
